"EMPLOYEE_ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE_NUMBER","HIRE_DATE","JOB_ID","SALARY","COMMISSION_PCT","MANAGER_ID","DEPARTMENT_ID"
100,"Steven","King","SKING","515.123.4567",1987/06/17 0:00:00,"AD_PRES",24000.00,,,90
101,"Neena","Kochhar","NKOCHHAR","515.123.4568",1989/09/21 0:00:00,"AD_VP",17000.00,,100,90
102,"Lex","De Haan","LDEHAAN","515.123.4569",1993/01/13 0:00:00,"AD_VP",17000.00,,100,90
103,"Alexander","Hunold","AHUNOLD","590.423.4567",1990/01/03 0:00:00,"IT_PROG",9000.00,,102,60
104,"Bruce","Ernst","BERNST","590.423.4568",1991/05/21 0:00:00,"IT_PROG",6000.00,,103,60
105,"David","Austin","DAUSTIN","590.423.4569",1997/06/25 0:00:00,"IT_PROG",4800.00,,103,60
106,"Valli","Pataballa","VPATABAL","590.423.4560",1998/02/05 0:00:00,"IT_PROG",4800.00,,103,60
107,"Diana","Lorentz","DLORENTZ","590.423.5567",1999/02/07 0:00:00,"IT_PROG",4200.00,,103,60
108,"Nancy","Greenberg","NGREENBE","515.124.4569",1994/08/17 0:00:00,"FI_MGR",12000.00,,101,100
109,"Daniel","Faviet","DFAVIET","515.124.4169",1994/08/16 0:00:00,"FI_ACCOUNT",9000.00,,108,100
110,"John","Chen","JCHEN","515.124.4269",1997/09/28 0:00:00,"FI_ACCOUNT",8200.00,,108,100
111,"Ismael","Sciarra","ISCIARRA","515.124.4369",1997/09/30 0:00:00,"FI_ACCOUNT",7700.00,,108,100
112,"Jose Manuel","Urman","JMURMAN","515.124.4469",1998/03/07 0:00:00,"FI_ACCOUNT",7800.00,,108,100
113,"Luis","Popp","LPOPP","515.124.4567",1999/12/07 0:00:00,"FI_ACCOUNT",6900.00,,108,100
114,"Den","Raphaely","DRAPHEAL","515.127.4561",1994/12/07 0:00:00,"PU_MAN",11000.00,,100,30
115,"Alexander","Khoo","AKHOO","515.127.4562",1995/05/18 0:00:00,"PU_CLERK",3100.00,,114,30
116,"Shelli","Baida","SBAIDA","515.127.4563",1997/12/24 0:00:00,"PU_CLERK",2900.00,,114,30
117,"Sigal","Tobias","STOBIAS","515.127.4564",1997/07/24 0:00:00,"PU_CLERK",2800.00,,114,30
118,"Guy","Himuro","GHIMURO","515.127.4565",1998/11/15 0:00:00,"PU_CLERK",2600.00,,114,30
119,"Karen","Colmenares","KCOLMENA","515.127.4566",1999/08/10 0:00:00,"PU_CLERK",2500.00,,114,30
120,"Matthew","Weiss","MWEISS","650.123.1234",1996/07/18 0:00:00,"ST_MAN",8000.00,,100,50
121,"Adam","Fripp","AFRIPP","650.123.2234",1997/04/10 0:00:00,"ST_MAN",8200.00,,100,50
122,"Payam","Kaufling","PKAUFLIN","650.123.3234",1995/05/01 0:00:00,"ST_MAN",7900.00,,100,50
123,"Shanta","Vollman","SVOLLMAN","650.123.4234",1997/10/10 0:00:00,"ST_MAN",6500.00,,100,50
124,"Kevin","Mourgos","KMOURGOS","650.123.5234",1999/11/16 0:00:00,"ST_MAN",5800.00,,100,50
125,"Julia","Nayer","JNAYER","650.124.1214",1997/07/16 0:00:00,"ST_CLERK",3200.00,,120,50
126,"Irene","Mikkilineni","IMIKKILI","650.124.1224",1998/09/28 0:00:00,"ST_CLERK",2700.00,,120,50
127,"James","Landry","JLANDRY","650.124.1334",1999/01/14 0:00:00,"ST_CLERK",2400.00,,120,50
128,"Steven","Markle","SMARKLE","650.124.1434",2000/03/08 0:00:00,"ST_CLERK",2200.00,,120,50
129,"Laura","Bissot","LBISSOT","650.124.5234",1997/08/20 0:00:00,"ST_CLERK",3300.00,,121,50
130,"Mozhe","Atkinson","MATKINSO","650.124.6234",1997/10/30 0:00:00,"ST_CLERK",2800.00,,121,50
131,"James","Marlow","JAMRLOW","650.124.7234",1997/02/16 0:00:00,"ST_CLERK",2500.00,,121,50
132,"TJ","Olson","TJOLSON","650.124.8234",1999/04/10 0:00:00,"ST_CLERK",2100.00,,121,50
133,"Jason","Mallin","JMALLIN","650.127.1934",1996/06/14 0:00:00,"ST_CLERK",3300.00,,122,50
134,"Michael","Rogers","MROGERS","650.127.1834",1998/08/26 0:00:00,"ST_CLERK",2900.00,,122,50
135,"Ki","Gee","KGEE","650.127.1734",1999/12/12 0:00:00,"ST_CLERK",2400.00,,122,50
136,"Hazel","Philtanker","HPHILTAN","650.127.1634",2000/02/06 0:00:00,"ST_CLERK",2200.00,,122,50
137,"Renske","Ladwig","RLADWIG","650.121.1234",1995/07/14 0:00:00,"ST_CLERK",3600.00,,123,50
138,"Stephen","Stiles","SSTILES","650.121.2034",1997/10/26 0:00:00,"ST_CLERK",3200.00,,123,50
139,"John","Seo","JSEO","650.121.2019",1998/02/12 0:00:00,"ST_CLERK",2700.00,,123,50
140,"Joshua","Patel","JPATEL","650.121.1834",1998/04/06 0:00:00,"ST_CLERK",2500.00,,123,50
141,"Trenna","Rajs","TRAJS","650.121.8009",1995/10/17 0:00:00,"ST_CLERK",3500.00,,124,50
142,"Curtis","Davies","CDAVIES","650.121.2994",1997/01/29 0:00:00,"ST_CLERK",3100.00,,124,50
143,"Randall","Matos","RMATOS","650.121.2874",1998/03/15 0:00:00,"ST_CLERK",2600.00,,124,50
144,"Peter","Vargas","PVARGAS","650.121.2004",1998/07/09 0:00:00,"ST_CLERK",2500.00,,124,50
145,"John","Russell","JRUSSEL","011.44.1344.429268",1996/10/01 0:00:00,"SA_MAN",14000.00,0.40,100,80
146,"Karen","Partners","KPARTNER","011.44.1344.467268",1997/01/05 0:00:00,"SA_MAN",13500.00,0.30,100,80
